D4;D10;D21;D36;D60



;;;;
;;;;
1.60E-02;;;;
1.56E-02;;;;
1.56E-02;;;;
1.55E-02;;;;
1.54E-02;;;;
1.47E-02;;;;
1.39E-02;;;;
1.39E-02;;;;
1.37E-02;;;;
1.35E-02;;;;1.74E-01
1.32E-02;;;;1.70E-01
1.29E-02;;;;1.66E-01
1.18E-02;2.52E-02;;;1.66E-01
0.0114244;2.52E-02;;;1.55E-01
1.14E-02;2.35E-02;;;1.50E-01
0.0112949;2.28E-02;;;1.50E-01
1.08E-02;2.25E-02;9.86E-02;;1.47E-01
1.05E-02;2.22E-02;9.74E-02;;1.40E-01
0.0103804;2.12E-02;9.51E-02;;1.31E-01
1.02E-02;2.10E-02;8.96E-02;;1.22E-01
9.98E-03;2.09E-02;8.75E-02;1.39E-01;1.22E-01
0.00969488;2.07E-02;8.16E-02;1.28E-01;1.21E-01
9.41E-03;2.06E-02;8.01E-02;1.24E-01;1.18E-01
9.13E-03;2.05E-02;7.71E-02;1.24E-01;1.17E-01
9.12E-03;1.96E-02;7.51E-02;1.23E-01;1.09E-01
8.78E-03;1.85E-02;7.43E-02;1.21E-01;1.05E-01
0.00873054;1.82E-02;6.88E-02;1.21E-01;1.00E-01
0.00866746;1.79E-02;6.54E-02;1.18E-01;9.25E-02
8.49E-03;1.69E-02;6.05E-02;1.00E-01;9.22E-02
0.00844173;1.68E-02;5.73E-02;9.57E-02;9.00E-02
8.30E-03;1.57E-02;5.68E-02;9.51E-02;8.61E-02
0.00820936;1.54E-02;5.46E-02;9.41E-02;8.55E-02
0.00819442;1.45E-02;5.12E-02;9.31E-02;8.27E-02
8.14E-03;1.41E-02;4.86E-02;9.07E-02;8.15E-02
8.05E-03;1.40E-02;4.85E-02;8.79E-02;8.14E-02
8.03E-03;1.34E-02;4.84E-02;8.76E-02;7.97E-02
7.96E-03;1.33E-02;4.83E-02;8.66E-02;7.83E-02
7.85E-03;1.29E-02;4.61E-02;8.46E-02;7.68E-02
7.48E-03;1.28E-02;4.61E-02;8.41E-02;7.27E-02
7.31E-03;1.23E-02;4.45E-02;8.24E-02;7.00E-02
0.00729315;1.23E-02;4.43E-02;8.18E-02;7.00E-02
7.29E-03;1.23E-02;4.23E-02;7.88E-02;6.80E-02
7.23E-03;1.21E-02;4.07E-02;7.88E-02;6.74E-02;;;
6.90E-03;1.21E-02;3.86E-02;7.85E-02;6.67E-02;;;
6.87E-03;1.12E-02;3.83E-02;7.69E-02;6.57E-02;;;
6.70E-03;1.07E-02;3.71E-02;7.63E-02;6.37E-02;;;
6.57E-03;1.01E-02;3.68E-02;7.61E-02;6.20E-02;;;3.64E-03
0.00649479;9.79E-03;3.43E-02;7.60E-02;6.17E-02;;;
6.49E-03;9.04E-03;3.30E-02;7.51E-02;6.13E-02;;;
6.38E-03;8.84E-03;3.20E-02;7.34E-02;5.75E-02;;;
6.23E-03;8.77E-03;2.68E-02;7.26E-02;5.68E-02;;;
6.22E-03;8.77E-03;2.59E-02;7.17E-02;5.42E-02;;;
0.0060981;8.60E-03;2.58E-02;7.03E-02;5.40E-02;;;
0.00606822;8.49E-03;2.54E-02;6.79E-02;5.38E-02;;;
