Segment	Volume			
0	8.626E-02	mehrere Acini hintendran		
1	5.902E-02	mehrere Acini hintendran		
2	3.587E-02	mehrere Acini, unten an Probe angeschnitten		
3	1.328E-04			
4	2.452E-03			
5	1.038E-02			
6	8.209E-03			
7	5.016E-03			
8	6.473E-05			
9	2.324E-05			
10	9.695E-03			
11	2.070E-03			
12	9.461E-04	war wie im Bild rechts		
13	1.142E-02			
14	3.409E-03			
15	8.667E-03			
16	2.823E-03			
17	3.839E-03			
18	1.547E-02			
19	3.701E-04			
20	6.068E-03			
21	2.030E-03			
22	3.054E-04			
23	1.316E-03			
24	3.353E-04			
25	1.384E-03			
26	8.797E-05			
27	1.197E-03			
28	6.457E-04			
29	1.819E-03			
30	1.117E-03			
31	5.393E-03			
32	1.557E-03			
33	3.535E-04			
34	4.256E-03			
35	1.734E-03			
36	1.247E-03			
37	3.403E-04			
38	7.502E-04			
39	8.415E-04			
40	3.137E-03			
41	2.903E-03			
42	2.783E-03			
43	7.635E-05			
44	7.502E-04			
45	1.813E-03			
46	1.769E-03			
47	2.843E-03			
48	8.731E-03			
49	2.135E-03			
50	2.030E-03			
51	5.394E-04			
52	6.098E-03			
53	7.021E-04			
54	3.585E-03			
55	1.288E-03			
56	1.706E-03			
57	3.361E-03			
58	2.656E-04			
59	8.194E-03			
60	1.288E-02			
61	3.980E-03			
62	2.785E-03			
63	1.295E-03			
64	9.145E-04			
65	4.747E-04			
66	6.125E-04			
67	6.473E-05			
68	1.572E-03			
69	1.969E-03			
70	1.959E-03			
71	2.890E-03			
72	4.531E-04			
73	2.539E-04			
74	1.129E-02			
75	6.495E-03			
76	8.442E-03			
77	9.179E-04			
78	1.283E-03			
79	1.950E-03			
80	1.771E-03			
81	3.751E-04			
82	6.805E-04			
83	5.162E-04			
84	2.307E-04			
85	1.251E-03			
86	8.249E-04			
87	3.600E-03			
88	2.118E-03
