Segment	Volume	Threshold Interval	Kommentar
0	8.664E-02	45-51	several acini, only segmentable with 1% Threshold Interval
1	8.771E-02	18	several acini, partially out of the sample
2	4.593E-02	17	
3	8.096E-02	16	
4	2.220E-02	16	
5	3.495E-02	18	
6	2.249E-02	18	
7	2.049E-02	15	lots of additional seed-points, since paraffin in acinus shows severe phase separation
8	1.849E-02	18	
9	1.213E-02	18	
10	7.001E-03	18	
11	6.387E-03	18	
12	1.398E-02	18	
13	9.038E-03	21	
14	1.823E-02	18	
15	1.212E-02	18	bad segmentation, at outer parts of sample
16	5.994E-03	16	
17	4.510E-03	16	
18	1.285E-03	28	
19	7.882E-03	17	
20	1.229E-02	18	
21	2.515E-02	17	
22	2.219E-03	18	
23	6.116E-03	18	
24	5.861E-03	19	
25	2.989E-03	16	
26	4.998E-03	19	
27	1.034E-03	22	öppen nur zwei Alveolen
28	3.032E-03	18	
29	9.610E-04	18	
30	1.411E-02	20	
31	1.536E-02	18	
32	1.230E-02	23	
33	6.785E-03	20	
34	2.227E-03	19	
35	2.805E-03	18	
36	7.516E-03	20	
37	8.598E-03	18	
38	9.789E-03	18	
39	6.986E-03	19	
40	6.370E-03	18	
41	6.804E-02	17	
42	8.123E-02	19	
43	6.453E-02	15	out of sample
44	6.983E-03	15	minimally out of sample
45	1.124E-02	18	
46	8.301E-03	16	
47	1.275E-02	18	
48	4.857E-03	14	seed point inside phase-change. See image on the right -->
49	3.018E-02	18	
50	2.089E-02	18	
51	1.789E-02	17	
52	5.402E-02	15	
53	7.559E-03	18	
54	3.072E-02	18	
55	6.789E-02	17	
56	3.599E-02	17	
57	6.948E-03	18	
58	3.343E-03	19	crushed alveoli?
59	2.646E-02	17	
60	4.531E-02	18	
61	4.309E-03	17	
62	5.838E-03	16	
63	6.684E-03	21	
64	2.061E-02	17	
65	3.149E-03	17	
66	3.759E-03	19	
67	1.000E-01		not useable, because segmentation is in adjacent manhole covers
68	5.096E-04	20	
69	6.968E-03	18	
70	1.290E-02	17	
71	6.106E-03	16	
72	8.255E-02	17	
73	2.095E-02	21	out of sample
74	7.894E-03	17	out of sample
75	2.852E-02	20	
76	4.596E-03	15	
77	5.851E-03	18	
78	1.068E-02	17	
79	7.582E-03	17	
80	8.487E-03	16	
81	3.675E-02	14	
82	5.622E-03	18	
83	4.947E-02	18	
84	2.283E-02	17	
85	2.911E-03	18	
86	6.191E-03	18	
87	4.304E-03	18
