Segment	Volume	Threshold
0	2.093E-01	81
1	2.599E-02	86
2	5.087E+00	66
3	3.386E-02	103
4	4.941E-02	94
5	3.739E-02	93
6	2.747E-02	108
7	2.261E-01	75
8	1.237E-01	74
9	2.353E-01	71
10	1.702E-01	63
11	2.101E-01	61
12	0.0734328	73
13	1.614E-01	61
14	3.530E-02	67
15	1.766E-02	71
16	1.822E-02	73
17	1.521E-01	66
18	6.600E-02	72
19	4.830E-02	64
20	6.077E-03	80
21	7.852E-02	77
22	8.759E-02	78
23	3.507E-02	92
24	1.222E-02	85
25	3.952E-02	83
26	5.379E-02	100
27	4.512E-02	86
28	2.074E-02	90
29	6.246E-02	85
30	4.809E-02	81
31	1.597E-01	67
32	6.177E-02	71
33	5.446E-02	76
34	2.845E-02	92
35	3.134E-02	95
36	3.886E-02	86
37	9.065E-02	73
38	8.178E-02	71
39	1.871E-01	89
40	8.235E-02	64
41	1.211E-01	96
42	3.413E-02	81
43	2.524E-02	77
44	4.507E-02	63
45	2.008E-01	77
46	1.002E-01	70
47	2.454E-01	70
48	7.172E-02	63
49	7.875E-02	63
50	2.803E-01	76
51	3.067E-01	76
52	7.875E-02	63
53	7.025E-02	63
54	2.253E-01	63
55	5.641E-02	68
56	6.622E-02	55
57	6.622E-02	57
58	3.419E-02	94
59	1.386E-01	67
60	2.475E-01	65
61	1.992E-01	76
62	6.219E-02	66
63	3.434E-02	54
64	1.881E-01	65
65	5.038E-02	63
66	3.038E-02	88
67	1.619E-02	70
68	1.104E-02	66
69	1.535E-01	101
70	3.996E-02	87
71	2.815E-02	80
72	6.794E-02	79
73	8.658E-02	91
74	2.243E-02	82
75	2.178E-02	75
76	3.414E-02	105
77	1.837E-02	75
78	1.695E-01	60
79	1.182E-01	65
80	3.412E-01	51
81	1.804E-01	45
82	2.062E-01	67
83	7.632E-02	70
84	2.545E-01	70
85	3.468E-02	95
86	2.283E-01	78
87	3.359E-01	77
88	8.405E-02	64
89	7.597E-02	65
90	5.279E-01	70
91	9.405E-02	87
92	8.459E-02	97
93	4.682E-02	108
94	9.307E-02	88
95	9.568E-02	103
96	1.464E-01	90
98	3.830E-01	86
99	5.231E-02	96
100	1.244E-01	75
102	0.73571	72
103	4.779E-02	50
104	1.206E-01	87
105	6.521E-02	55
106	1.232E-01	82
107	2.129E-01	73
108	7.261E-02	94
109	8.789E-02	84
110	4.522E-02	71
111	3.921E-02	81
112	4.956E-02	55
113	2.461E-01	66
114	1.276E-01	67
116	3.085E-01	69
117	7.613E-02	72
118	3.400E-02	66
119	7.511E-02	59
120	2.933E-02	74
121	1.234E-02	79
122	1.685E-02	52
124	5.702E-02	51
125	9.509E-02	65
126	3.513E-02	80
127	2.292E-02	62
128	4.427E-02	51
130	4.825E-02	71
131	1.968E-02	60
132	2.044E-02	51
133	4.295E-02	69
134	1.445E-02	60
135	3.293E-02	75
136	2.009E-02	65
137	7.690E-02	61
138	2.094E-02	60
